Unix,Date,Symbol,Open,High,Low,Close,Volume SHIB,Volume USDT,tradecount
1.70364E+12,12/27/2023,SHIBUSDT,1.06E-05,1.09E-05,1.03E-05,1.09E-05,3.54891E+12,37884026.4,93080
1.70355E+12,12/26/2023,SHIBUSDT,1.10E-05,1.10E-05,1.00E-05,1.06E-05,4.81886E+12,50967955.35,131452
1.70346E+12,12/25/2023,SHIBUSDT,1.07E-05,1.11E-05,1.05E-05,1.10E-05,3.5836E+12,38930248.88,97326
1.70338E+12,12/24/2023,SHIBUSDT,1.11E-05,1.11E-05,1.04E-05,1.07E-05,4.41678E+12,47976580.29,123266
1.70329E+12,12/23/2023,SHIBUSDT,1.09E-05,1.13E-05,1.05E-05,1.11E-05,5.77965E+12,63267564.72,141845
1.7032E+12,12/22/2023,SHIBUSDT,1.04E-05,1.10E-05,1.03E-05,1.09E-05,6.43838E+12,68627229.97,143312
1.70312E+12,12/21/2023,SHIBUSDT,1.02E-05,1.06E-05,1.01E-05,1.04E-05,3.45211E+12,35739677.81,78115
1.70303E+12,12/20/2023,SHIBUSDT,1.01E-05,1.05E-05,9.95E-06,1.02E-05,3.86977E+12,39704754.59,86802
1.70294E+12,12/19/2023,SHIBUSDT,1.04E-05,1.06E-05,9.99E-06,1.01E-05,4.2598E+12,43833767.54,91636
1.70286E+12,12/18/2023,SHIBUSDT,1.03E-05,1.05E-05,9.54E-06,1.04E-05,8.41515E+12,84585389.43,152987
1.70277E+12,12/17/2023,SHIBUSDT,1.16E-05,1.20E-05,1.02E-05,1.03E-05,1.28269E+13,139098816.1,249604
1.70268E+12,12/16/2023,SHIBUSDT,9.60E-06,1.17E-05,9.46E-06,1.16E-05,1.64451E+13,176046281.8,335251
1.7026E+12,12/15/2023,SHIBUSDT,1.01E-05,1.01E-05,9.57E-06,9.60E-06,3.77894E+12,37104231.08,79642
1.70251E+12,12/14/2023,SHIBUSDT,9.81E-06,1.02E-05,9.50E-06,1.01E-05,5.43904E+12,54229817.55,110693
1.70243E+12,12/13/2023,SHIBUSDT,9.58E-06,9.87E-06,9.14E-06,9.80E-06,4.44942E+12,42312468.22,86723
1.70234E+12,12/12/2023,SHIBUSDT,9.52E-06,9.77E-06,9.29E-06,9.57E-06,4.6359E+12,44328976,93841
1.70225E+12,12/11/2023,SHIBUSDT,1.03E-05,1.06E-05,9.10E-06,9.51E-06,1.1489E+13,111276907.1,209959
1.70217E+12,12/10/2023,SHIBUSDT,9.99E-06,1.04E-05,9.90E-06,1.03E-05,5.43081E+12,55275324.54,103717
1.70208E+12,12/9/2023,SHIBUSDT,1.02E-05,1.05E-05,9.90E-06,9.99E-06,7.13217E+12,72964502.81,134587
1.70199E+12,12/8/2023,SHIBUSDT,9.78E-06,1.04E-05,9.74E-06,1.02E-05,7.29945E+12,73496880.33,133207
1.70191E+12,12/7/2023,SHIBUSDT,9.71E-06,9.88E-06,9.38E-06,9.78E-06,6.27959E+12,60786182.88,116832
1.70182E+12,12/6/2023,SHIBUSDT,9.49E-06,1.07E-05,9.31E-06,9.72E-06,2.0386E+13,203060340.8,388193
1.70173E+12,12/5/2023,SHIBUSDT,9.21E-06,9.58E-06,8.87E-06,9.49E-06,1.06043E+13,98147335.83,187967
1.70165E+12,12/4/2023,SHIBUSDT,9.02E-06,9.65E-06,8.65E-06,9.21E-06,1.28741E+13,117285231.8,220543
1.70156E+12,12/3/2023,SHIBUSDT,8.52E-06,9.49E-06,8.36E-06,9.02E-06,1.02419E+13,91727128.75,190817
1.70148E+12,12/2/2023,SHIBUSDT,8.37E-06,8.57E-06,8.34E-06,8.52E-06,2.08469E+12,17620534.43,43849
1.70139E+12,12/1/2023,SHIBUSDT,8.29E-06,8.39E-06,8.25E-06,8.37E-06,2.04492E+12,17041748.62,37317
1.7013E+12,11/30/2023,SHIBUSDT,8.22E-06,8.30E-06,8.12E-06,8.30E-06,1.65672E+12,13611503.71,33101
1.70122E+12,11/29/2023,SHIBUSDT,8.31E-06,8.39E-06,8.16E-06,8.22E-06,2.17789E+12,18059590.47,44126
1.70113E+12,11/28/2023,SHIBUSDT,8.20E-06,8.33E-06,8.03E-06,8.31E-06,2.61686E+12,21446771.28,46443
1.70104E+12,11/27/2023,SHIBUSDT,8.30E-06,8.66E-06,8.02E-06,8.19E-06,5.72992E+12,47674739.73,103288
1.70096E+12,11/26/2023,SHIBUSDT,8.47E-06,8.48E-06,8.05E-06,8.29E-06,3.1088E+12,25721659.51,52853
1.70087E+12,11/25/2023,SHIBUSDT,8.18E-06,8.59E-06,8.15E-06,8.48E-06,2.43682E+12,20456202.44,51106
1.70078E+12,11/24/2023,SHIBUSDT,8.11E-06,8.30E-06,8.08E-06,8.19E-06,2.48125E+12,20355332.87,47607
1.7007E+12,11/23/2023,SHIBUSDT,8.09E-06,8.19E-06,8.00E-06,8.11E-06,1.48563E+12,12038853.57,33900
1.70061E+12,11/22/2023,SHIBUSDT,7.73E-06,8.18E-06,7.70E-06,8.10E-06,2.74521E+12,21954837.71,57457
1.70052E+12,11/21/2023,SHIBUSDT,8.44E-06,8.51E-06,7.61E-06,7.74E-06,4.7306E+12,38353652.71,101151
1.70044E+12,11/20/2023,SHIBUSDT,8.67E-06,8.72E-06,8.36E-06,8.43E-06,3.09657E+12,26587202.82,63792
1.70035E+12,11/19/2023,SHIBUSDT,8.55E-06,8.71E-06,8.35E-06,8.67E-06,2.1679E+12,18471018.9,46382
1.70027E+12,11/18/2023,SHIBUSDT,8.82E-06,8.91E-06,8.39E-06,8.56E-06,3.43038E+12,29536117.96,71675
1.70018E+12,11/17/2023,SHIBUSDT,8.50E-06,9.16E-06,8.40E-06,8.82E-06,6.54375E+12,57206667.26,135112
1.70009E+12,11/16/2023,SHIBUSDT,8.79E-06,9.19E-06,8.29E-06,8.50E-06,7.4263E+12,65190644.49,144733
1.70001E+12,11/15/2023,SHIBUSDT,8.34E-06,8.85E-06,8.32E-06,8.79E-06,3.50562E+12,30112297.83,71797
1.69992E+12,11/14/2023,SHIBUSDT,8.53E-06,8.69E-06,8.00E-06,8.34E-06,4.77221E+12,40115990.46,99782
1.69983E+12,11/13/2023,SHIBUSDT,8.91E-06,9.17E-06,8.42E-06,8.53E-06,5.51301E+12,48618705.75,123746
1.69975E+12,11/12/2023,SHIBUSDT,9.09E-06,9.15E-06,8.65E-06,8.92E-06,4.77562E+12,42744965.26,106053
1.69966E+12,11/11/2023,SHIBUSDT,8.48E-06,9.65E-06,8.44E-06,9.09E-06,1.63148E+13,149263773.5,305064
1.69957E+12,11/10/2023,SHIBUSDT,8.23E-06,8.56E-06,8.08E-06,8.49E-06,6.22391E+12,51858781.77,107085
1.69949E+12,11/9/2023,SHIBUSDT,8.28E-06,8.72E-06,7.80E-06,8.23E-06,8.81775E+12,73864162.06,149998
